,Sr. No.,Date (dd/mm/yyyy),Startup Name,Industry/ Vertical,Sub-Vertical,City / Location,Investors’ Name,Investment Type,Amount (in USD)
1036,74,19/02/2016,AlmaConnect,Consumer Internet,Alumni social network,New Delhi,"Mohandas Pai, Varun Aggarwal",Seed Funding,N/A
1037,75,19/02/2016,Advantage Club,Consumer Internet,mobile platform for corporate employee benefits,Gurgaon,Purvi Ventures & Others,Seed Funding,"400,000"
1038,76,19/02/2016,LocalRamu,Consumer Internet,mobile based aggregator for local service providers,Bangalore,3 undisclosed investors,Seed Funding,N/A
1039,77,22/02/2016,Baby Berry,Consumer Internet,Parenting Mobile app,Bangalore,Nitin Bagmane & Other undisclosed investors,Seed Funding,"1,000,000"
1040,78,22/02/2016,Magicpin,Consumer Internet,Hyperlocal Discover Mobile App,New Delhi,Lightspeed India,Private Equity,"3,000,000"
1041,79,22/02/2016,First Eat,Consumer Internet,Healthy Food Delivery platform,New Delhi,Undisclosed investor,Seed Funding,"100,000"
1042,80,22/02/2016,SigTuple,Technology,Healthcare based Tech Solutions,Bangalore,"Sachin Bansal, Binny Bansal, Accel Partners & Others",Seed Funding,N/A
1043,81,22/02/2016,Taskbob,Consumer Internet,Hyperlocal Handyman services platform,Mumbai,"IvyCap Ventures, Orios Venture Partners, Mayfield India",Private Equity,"4,500,000"
1044,82,22/02/2016,Styledotme,Consumer Internet,Mobile Fashion App,New Delhi,Indian Angel Network,Seed Funding,"37,000"
1045,83,22/02/2016,NewsLaundry,Consumer Internet,Independent News Media Portal,New Delhi,"Omidyar Network,  Vikram Lal, Abhijit Bhandari, Mahesh Murthy, Shashank Bhagat",Private Equity,N/A
1046,84,23/02/2016,CupoNation,Consumer Internet,Deals and Discount platform,Gurgaon,"Rocket Internet AG, Holtzbrink Ventures, New Enterprise Associates (NEA), e.ventures, ru-Net, Deutsche Telekom Strategic Investments (DTSI), Silicon Valley Bank",Private Equity,"11,000,000"
1047,85,23/02/2016,Aarav UAV,Technology,unmanned aerial vehicles creator,Kanpur,"StartupXseed Ventures, The Phoenix Fund and others",Seed Funding,N/A
1048,86,24/02/2016,Sayfix,Consumer Internet,Hyperlocal Home Services Provider,Bangalore,Yajnanarayana Kammaje,Seed Funding,"160,000"
1049,87,24/02/2016,LoanZen,Consumer Internet,Peer to peer Lending marketplace,Bangalore,Tracxn Syndicate,Seed Funding,N/A
1050,88,24/02/2016,NoBroker,Consumer Internet,Peer to peer property listing platform,Bangalore,"Beenext, Digital Garage, Beenos, Qualgro, Mamoru Taniya, SAIF Partners",Private Equity,"10,000,000"
1051,89,24/02/2016,AppilyEver,Consumer Internet,Online wedding services marketplace,Hyderabad,"Varun Aggarwal, Suresh Venkat, Raj Y",Seed Funding,"400,000"
1052,90,24/02/2016,Pocketin,Consumer Internet,Hotel reservations & Deal platform,Noida,Swastika Company Ltd,Seed Funding,"150,000"
1053,91,24/02/2016,FeetApart,Consumer Internet,Employee engagements & Rewards platform,Bangalore,Vishal Bali & Others,Seed Funding,N/A
1054,92,25/02/2016,OfBusiness,eCommerce,B2B commerce Marketplace,Gurgaon,Matrix Partners India,Private Equity,"5,000,000"
1055,93,25/02/2016,CarveNiche,Consumer Internet,Personalized Learning Solutions & products,Bangalore,"Calcutta Angels, Lead Angels & Others",Seed Funding,N/A
1056,94,25/02/2016,Juspay,Consumer Internet,Digital Payments solutions,Bangalore,"Accel Partners, Ashish Hemrajani, Parikshit Dar, Rajesh Balpande",Private Equity,"5,800,000"
1057,95,25/02/2016,Funcart,eCommerce,Party Supplies Etailer,New Delhi,Undisclosed HNIs,Seed Funding,"70,000"
1058,96,26/02/2016,Freedom Smart Labs,Technology,IoT retail solutions,New Delhi,Kapil Goel,Seed Funding,"145,000"
1059,97,26/02/2016,EduBridge,Consumer Internet,Skill development and vocational training platform,Mumbai,"Insitor Impact Asia Fund, Acumen Fund",Private Equity,"2,500,000"
1060,98,29/02/2016,Nestaway,Consumer Internet,Online Home Rental Marketplace,Bangalore,Ratan Tata,Private Equity,N/A
1061,99,29/02/2016,Hopscotch,eCommerce,Baby & Kids Products Online Flash sales platform,Mumbai,Eduardo Saverin,Private Equity,"13,000,000"
1062,100,29/02/2016,PinClick,Consumer Internet,Online real estate listings,Bangalore,Undisclosed investors,Private Equity,N/A
1063,101,,,,,,,,
1064,1,02/01/2017,TaxSutra,Consumer Internet,Online Tax Filing platform,Pune,"TV Mohandas Pai, V Balakrishnan, PV Srinivasan",Seed Funding,"366,000"
1065,2,03/01/2017,TempoGo,Technology,IoT & SAAS Solutions for Transportation Industry,Panaji,K2 Capital,Seed Funding,"825,000"
1066,3,03/01/2017,GoFynd,ecommerce,Fashion ecommerce portal,Mumbai,"Anand Chandrasekaran, Rajiv Mehta, Ramakant Sharma",Seed Funding,N/A
1067,4,03/01/2017,Vow Car Clinic,Consumer Internet,Online/App Based Car cleaning service provider,Gurgaon,Vishal Malik,Seed Funding,N/A
1068,5,04/01/2017,LearnTron,Technology,Blended Learning Delivery App for Schools & Corporates,Chennai,Kae Capital,Seed Funding,N/A
1069,6,05/01/2017,MobiDent,Consumer Internet,Dentist Appointments booking platform,Bangalore,DanGold Investment Corp,Private Equity,N/A
1070,7,05/01/2017,Yostra,Technology,Healthcare Technology Solutions,Bangalore,"Marico Innovation Foundation (MIF), Villgro",Private Equity,N/A
1071,8,06/01/2017,Leap India,Logistics,Supply Chain Solutions Provider,Mumbai,"India Nivesh Growth Fund, Sixth Sense, TCI Ventures",Private Equity,"13,000,000"
1072,9,07/01/2017,FreeCharge,Consumer Internet,Mobile Wallet,Mumbai,Jasper Infotech Pvt Ltd,Private Equity,"57,000,000"
1073,10,09/01/2017,TicketNew,Consumer Internet,Movie Ticket Booking platform,Chennai,Alibaba Pictures,Private Equity,"35,000,000"
1074,11,10/01/2017,Intelligence Node,Technology,SAAS Based Retail Analytics Solutions,Mumbai,BlackSoil Capital Pvt Ltd,Private Equity,"800,000"
1075,12,10/01/2017,Securens,Technology,e-surveillance services provider,Mumbai,"Mayfield India, Trifecta Capital",Private Equity,"5,000,000"
1076,13,10/01/2017,Loan Frame,Consumer Internet,Small Business Loans Marketplace platform,Gurgaon,"Vedanta Capital, William Campbell, Toos N Daruvala",Private Equity,"2,250,000"
1077,14,10/01/2017,DriveSkool,Consumer Internet,online marketplace for driving schools,Bangalore,Aavya Ventures,Seed Funding,N/A
1078,15,10/01/2017,Medinfi,Consumer Internet,Doctor & Clinic Discovery portal,Bangalore,"Vinod Martin, Evan Lim, Kanchan Ghoshal, Ram Kumar Kakani",Seed Funding,"100,000"
1079,16,10/01/2017,LensKart,eCommerce,Online eyewear retailer,Bangalore,Ronnie Screwvala,Private Equity,"3,500,000"
1080,17,11/01/2017,InstaOffice,Consumer Internet,CoWorking Spaces booking platform,Gurgaon,"Zishaan Hayath, Karan Chellani, Mohit Satyan",Seed Funding,N/A
1081,18,12/01/2017,Hansel.io,Consumer Internet,Real-time Mobile App Management Platform,Bangalore,"IDG Ventures, Endiya Partners",Private Equity,"1,350,000"
1082,19,12/01/2017,Square Yards,Consumer Internet,Property Search Aggregator platform,Gurgaon,"Lohia Group, Andre Hoffman",Private Equity,"10,000,000"
1083,20,13/01/2017,Roambee,Technology,IoT smart Logistics and Asset Management Company,Mumbai,Deutsche Telekom Strategic Investments & Others,Private Equity,"4,100,000"
1084,21,13/01/2017,PaisaWapas,Consumer Internet,Cashback & Coupons platform,Bangalore,Vividhity Ventures,Seed Funding,N/A
1085,22,13/01/2017,iService,Consumer Internet,Gadgets Repair & Service Booking platform,Bangalore,"Blume Ventures, Girish Mathrubootham, Aprameya Radhakrishna",Seed Funding,"440,000"
1086,23,14/01/2017,Unacademy,Consumer Internet,Online learning platform,Bangalore,"Nexus Venture Partners, Blume Ventures",Private Equity,"4,500,000"
1087,24,14/01/2017,SecururAX,Technology,Cloud-based solutions provider,Bangalore,"Axilor Ventures, Parampara Early Stage Opportunities Fund & Others",Private Equity,N/A
1088,25,16/01/2017,Leadburg,Consumer Internet,Personality Development Mobile App,Bangalore,"Harsh V. Pant, Ratheesh Raveendran",Seed Funding,N/A
1089,26,16/01/2017,ZoloStays,Consumer Internet,Branded PG Accomodation booking platform,Bangalore,"Nexus Venture Partners, Innoven Capital",Private Equity,"5,000,000"
1090,27,16/01/2017,Oi Media,Technology,SAAS Based Media Marketing platform,New Delhi,Quarizon,Seed Funding,N/A
1091,28,16/01/2017,HipCouch,Consumer Internet,Custom & Modular Furniture platform,Mumbai,Undisclosed Investors,Seed Funding,"700,000"
1092,29,17/01/2017,Curiositi,Consumer Internet,Online Learning Platform,Bangalore,"Menterra Social Impact Fund, Unitus Seed Fund",Private Equity,"800,000"
1093,30,17/01/2017,TinyStep,Consumer Internet,Parenting Info & Social Network,Bangalore,Flipkart,Private Equity,"2,000,000"
1094,31,17/01/2017,Practo,Consumer Internet,Online Healthcare platform,Bangalore,"Tencent,  ru-Net, RSI Fund, Thrive Capital",Private Equity,"55,000,000"
1095,32,17/01/2017,Ketchupp,Consumer Internet,Food Discovery Platform,New Delhi,India Quotient and others,Seed Funding,"441,000"
1096,33,17/01/2017,Hoopy,Consumer Internet,Online Car Service Platform,Gwalior,undisclosed investors,Seed Funding,"500,000"
1097,34,17/01/2017,Ezytruk,Consumer Internet,Logistics and truck aggregator platform,Bangalore,"Ajith Nair, Anish K",Seed Funding,"147,000"
1098,35,18/01/2017,Kratikal,Technology,Cyber Security Solution provider,New Delhi,"Amajit Gupta, Praveen Dubey, J.P. Bhatt",Seed Funding,N/A
1099,36,18/01/2017,Direct Create,eCommerce,B2B Marketplace for Handicrafts,Gurgaon,Rajasthan Venture Capital Fund,Seed Funding,N/A
1100,37,18/01/2017,Vahdam Teas,eCommerce,Online Tea etailer,New Delhi,"Mumbai Angels Network, Fireside Ventures, Singapore Angel Network",Seed Funding,"650,000"
1101,38,18/01/2017,Qwikspec,Technology,Cloud-based construction,Bangalore,Undisclosed Investors,Seed Funding,"300,000"
1102,39,19/01/2017,PParke,Consumer Internet,Parking Solutions mobile app,Bangalore,SB Ventures,Seed Funding,N/A
1103,40,19/01/2017,Weddingz.in,Consumer Internet,Online Marketplace for Wedding Venues and vendors,Mumbai,Singularity Ventures,Private Equity,"1,000,000"
1104,41,19/01/2017,Native Special,eCommerce,Indian Sweets & Snacks etailer,Karur,"Indian Angel Network, Native Angels Network",Seed Funding,N/A
1105,42,19/01/2017,Fitnapp,Consumer Internet,Fitness Mobile App,Noida,SD Group,Private Equity,N/A
1106,43,20/01/2017,Ethosh,Technology,Visual and Interactive communications Solutions,Pune,Deepak Nathani,Seed Funding,N/A
1107,44,20/01/2017,Wydr,eCommerce,B2B Wholesale Marketplace in India,Gurgaon,"Bessemer Venture Partners, Stellaris Venture Partners, Jungle Venture Partners, Axis Capital",Private Equity,N/A
1108,45,20/01/2017,Tyre Express,Technology,IoT platform for Tyre Performance management & tracking,Mumbai,IvyCamp Ventures,Seed Funding,N/A
1109,46,20/01/2017,Connaizen,Technology,Data Analytics platform,New Delhi,Umang Moondra,Seed Funding,N/A
1110,47,22/01/2017,MessaGif,Consumer Internet,social messaging platform,New Delhi,Undisclosed investor,Seed Funding,"50,000"
1111,48,23/01/2017,SmartHi,Technology,Audit automation Solutions,Pune,Singapore based investor,Seed Funding,N/A
1112,49,23/01/2017,CRON Systems,Technology,Border Intrusion Alert Solutions,New Delhi,YourNest Fund II,Seed Funding,N/A
1113,50,23/01/2017,CueMath,Technology,Maths Learning program,New Delhi,"CapitalG, Sequoia India",Private Equity,"15,000,000"
1114,51,23/01/2017,ChipperSage,Technology,Online learning platform,Bangalore,India Educational Investment Fund,Seed Funding,N/A
1115,52,24/01/2017,SelectJobs,Consumer Internet,Online Job portal,Mumbai,India Educational Investment Fund,Seed Funding,N/A
1116,53,24/01/2017,Khel Now,Consumer Internet,Mobile-based Social Platform for Sports,Bangalore,Indochine International,Private Equity,"500,000"
1117,54,24/01/2017,NowFloats,Consumer Internet,Platform to take businesses online,Hyderabad,"Iron Pillar and IIFL, Blume Ventures, Omidyar Network",Private Equity,"10,000,000"
1118,55,24/01/2017,Lets Transport,Consumer Internet,Online transport vehicle booking platform,Bangalore,"GMO Japan, Neelesh Bhatnagar",Private Equity,"4,000,000"
1119,56,24/01/2017,BetaOut,Technology,ECommerce Marketing Software,Noida,East Ventures & Others,Private Equity,N/A
1120,57,25/01/2017,Wishberry,Consumer Internet,Crowdfunding Platform,Mumbai,"Sharad Sharma, Rajan Anandan,  Amit Ranjan, Alok Mittal & others",Seed Funding,N/A
1121,58,25/01/2017,RML Agtech,Technology,Agri Decision Support Solution for farmers,Pune,IvyCap Ventures,Private Equity,"4,000,000"
1122,59,25/01/2017,LoyaltyPrime,Technology,Loyalty program management solutions,New Delhi,"Senovo, Unternehmertum Venture Capital, Alexander Bruehl",Private Equity,N/A
1123,60,25/01/2017,InstaSafe,Technology,Security-as-a-Service solution provider,Bangalore,ABM Knowledgeware,Private Equity,"2,200,000"
1124,61,25/01/2017,Infibeam,eCommerce,eCommerce Marketplace,Ahmedabad,"Bennett, Coleman and Company Ltd",Private Equity,"8,800,000"
1125,62,2/01/2017,99Games,Technology,Mobile Game Developer Studio,Udupi,Dream Incubator,Seed Funding,N/A
1126,63,26/01/2017,AirMed Labs,Consumer Internet,Health Tests Booking platform & ePharmacy,Ahmedabad,Brand Capital,Private Equity,"1,400,000"
1127,64,26/01/2017,99PerHour,Consumer Internet,Hyper-local Handyman Service provider,Chennai,V Aanand R,Seed Funding,"300,000"
1128,65,26/01/2017,Kochi Post,Consumer Internet,English Online News portal,Kochi,"Rajesh Yohannan, Puthen & Cole",Seed Funding,N/A
1129,66,30/01/2017,Intuit Things,Technology,IoT solutions for home automation applications,Mumbai,Sanjay Mehta & Others ( The Ten Minute Million),Seed Funding,"106,000"
1130,67,30/01/2017,Cloudrino,Technology,Cloud based Virtual Servers,New Delhi,The Ten Minute Million,Seed Funding,"22,500"
1131,68,30/01/2017,FabX,eCommerce,Used Furniture Marketplace,Mumbai,The Ten Minute Million,Seed Funding,"68,000"
1132,69,30/01/2017,Maptags,Consumer Internet,Smart Online address tags,Bangalore,The Ten Minute Million,Seed Funding,"18,000"
1133,70,30/01/2017,YOLO Health,Consumer Internet,Online Healthcare platform,Mumbai,Chandigarh Angels Network (CAN),Seed Funding,N/A
1134,71,31/01/2017,Heads Up For Tails,eCommerce,Online Pet Products Store,New Delhi,Undisclosed Investors,Private Equity,"2,000,000"
1135,72,31/01/2017,Register My Marriage,Consumer Internet,Online Marriage Registration services,New Delhi,Mumbai Angels,Seed Funding,N/A
1136,73,31/01/2017,,,,,,,
1137,1,03/10/2016,MeraKisan,eCommerce,Fruit & vegetable eTailer,Bangalore,Mahindra Univeg,Seed Funding,N/A
1138,2,03/10/2016,Mystifly,Consumer Internet,Airline Ticket Aggregator,Bangalore,Recruit Holdings,Private Equity,"5,000,000"
1139,3,03/10/2016,HelpChat,Consumer Internet,AI Powered Content & Commerce platform,Bangalore,"American Express Ventures, Sequoia Capital",Private Equity,N/A
1140,4,03/10/2016,Uniphore,Technology,Speech Recognition Solutions,Chennai,"IDG Ventures, Indian Angel Network (IAN), YourNest Angel Fund",Private Equity,"2,000,000"
1141,5,03/10/2016,World Art Community,eCommerce,Art & Craft Marketplace,Gurgaon,Viraj Tyagi & Others,Seed Funding,"200,000"
1142,6,04/10/2016,Giftxoxo,eCommerce,Online Gifting platform,Bangalore,Mahindra Holidays & Resorts India Ltd,Private Equity,"450,000"
1143,7,04/10/2016,Bharat Bazaar,eCommerce,Online B2B Marketplace,Mumbai,"BeeNext, TV Mohandas Pai, Kunal Shah, Sandeep Tandon",Seed Funding,N/A
1144,8,04/10/2016,GOQii,Consumer Internet,Health & Fitness Wearable Device,Mumbai,Ratan Tata,Private Equity,N/A
1145,9,04/10/2016,India Gifts Portal,eCommerce,Online Gifting platform,Noida,"Naveen Arya, Tarun Joshi",Private Equity,"2,000,000"
1146,10,04/10/2016,Moglix,eCommerce,Industrial & Home products marketplace,Noida,"Accel Partners, Jungle Ventures, SeedPlus",Private Equity,"4,200,000"
1147,11,04/10/2016,NetLinx,Consumer Internet,Internet Service Provider,Hyderabad,"Xchange Investors NV, TransGlobal FZC",Private Equity,"3,000,000"
1148,12,04/10/2016,Scandid,Consumer Internet,Product Shopping Comparison App,Pune,3One4 Capital,Private Equity,N/A
1149,13,04/10/2016,Remitr,Consumer Internet,Foreign Currency Payments Platform,Mumbai,"Vijay Shekhar Sharma, Pravin Gandhi,  Smart Start Fund; Kunal Shah,  Sandeep Tandon, Vishal Gondal, & Others",Seed Funding,"1,000,000"
1150,14,04/10/2016,InnerChef,Consumer Internet,Online food ordering platform,Gurgaon,"Mistletoe, M&S Partners",Private Equity,"2,500,000"
1151,15,04/10/2016,AppsDaily,Consumer Internet,"Mobile Phone Theft, Damage Protection platform",Mumbai,"Zodius Capital, Kalaari Capital, Qualcomm Ventures, Russian venture capital fund Ru-Net, Mumbai Angels",Private Equity,"3,750,000"
1152,16,05/10/2016,MuhurtMaza,Consumer Internet,Online Puja Booking Service,Pune,Undisclosed Investor,Seed Funding,N/A
1153,17,05/10/2016,Azuro,Consumer Internet,Rental Property Finder platform,Mumbai,"White Unicorn Ventures, Kae Capital, Mumbai Angels",Private Equity,N/A
1154,18,05/10/2016,NeuroSynaptic,Technology,Remote Healthcare Delivery Solutions,Bangalore,"Indian Angel Network, Healthsquad, Axilor Ventures",Private Equity,N/A
1155,19,05/10/2016,UE LifeSciences,Technology,Mobile Health Technology Solutions,Mumbai,"Kiran Mazumdar-Shaw, Unitus Seed Fund",Private Equity,"1,200,000"
1156,20,06/10/2016,FindmeaShoe,Consumer Internet,Footwear Recommendation App,Bangalore,Ventureast Fund Advisors,Seed Funding,N/A
1157,21,06/10/2016,RealBox,Technology,Data Sciences Platform,Noida,Hyderabad Angels,Seed Funding,"300,000"
1158,22,06/10/2016,Sportido,Consumer Internet,Sports Discovery platform,Noida,Sumpoorna Group,Seed Funding,N/A
1159,23,06/10/2016,GoZefo,eCommerce,Used Furniture & Appliances Marketplace,Bangalore,"Helion Venture Partners, BeeNext",Private Equity,"1,050,000"
1160,24,07/10/2016,RayIOT,Technology,Baby Monitoring Devices manufacturer,Bangalore,HAX Accelerator,Seed Funding,"100,000"
1161,25,07/10/2016,KOOH Sports,Technology,Sports Training & Technology,Mumbai,"HDFC, Faering Capital, Elevate Sports",Private Equity,"2,200,000"
1162,26,07/10/2016,Flexiloans,Consumer Internet,Online Funds Raising Platform,Mumbai,"Sanjay Nayar, Vikram Sud, Anil Jaggia, Narayan Seshadri",Private Equity,"15,000,000"
1163,27,07/10/2016,Sibia Analytics,Technology,Marketing & Customer Analytics Solutions,Kolkata,Radhakrishnan Natarajan & Others,Seed Funding,N/A
1164,28,10/10/2016,Vithi.com,eCommerce,Online Hair Extension etailer,New Delhi,undisclosed investor,Seed Funding,"375,000"
1165,29,11/10/2016,Yupp TV,Consumer Internet,Internet-based TV streaming service provider,Bangalore,Emerald Media,Private Equity,"50,000,000"
1166,30,11/10/2016,Deyor Camps,Consumer Internet,Branded Camping location Aggregator,Gurgaon,"Nitin Passi, Manickam Mahalingam, Udaan Angels, Rajesh Arora, Arkas Industries",Seed Funding,"500,000"
1167,31,12/10/2016,ZipLoan,Consumer Internet,online lending platform,New Delhi,"GrowX Ventures, Sunil Kalra, Arun Venkatachalam,  Badal Malick",Seed Funding,N/A
1168,32,13/10/2016,FabAlley,ecommerce,online fashion brand store,Noida,"India Quotient, FAO Ventures, Indian Angel Network, Tushar Singh, Ranjan Sharma",Private Equity,"2,000,000"
1169,33,13/10/2016,Shoekonnect,eCommerce,B2B Marketplace for Shoes,Agra,Indian Angel Network,Seed Funding,N/A
1170,34,13/10/2016,Maya,Consumer Internet,Womens Health Tracker App,Bangalore,Rajan Anandan,Seed Funding,N/A
1171,35,13/10/2016,RoboVac,Technology,waterless car washing solution,Ahmedabad,Virendra Patel,Seed Funding,"450,000"
1172,36,14/10/2016,Newspatrolling,Consumer Internet,Online News portal,New Delhi,Undisclosed,Seed Funding,"25,000"
1173,37,14/10/2016,Postman,Consumer Internet,API Platform,Bangalore,Nexus Venture Partners,Private Equity,"7,000,000"
1174,38,14/10/2016,ISFC,Finance,Education Sector Lending,Hyderabad,Gray Matters Capital,Private Equity,"6,000,000"
1175,39,14/10/2016,BeatRoute,Technology,SAAS based mobile application platform,Gurgaon,Quarizon Consultancy Services LLP,Seed Funding,N/A
1176,40,14/10/2016,Kidsstoppress,Consumer Internet,Parenting and Baby care Platform,Mumbai,Karan Bhagat,Seed Funding,N/A
1177,41,14/10/2016,Innov8,Consumer Internet,Co-Working Spaces aggregator,Bangalore,Punit Soni,Seed Funding,N/A
1178,42,15/10/2016,DailyHunt,Consumer Internet,Vernacular content mobile app,Bangalore,"ByteDance, Arun Sarin, Matrix Partners, Sequoia Capital India, Omidyar Network,  Falcon Edge",Private Equity,"25,000,000"
1179,43,15/10/2016,Tazzo Bikes,Consumer Internet,Motorbike rental platform,Hyderabad,DSG Consumer Partners,Seed Funding,"227,000"
1180,44,15/10/2016,MyKindofJob,Consumer Internet,Internet & Fresher Job platform,Mumbai,"Mayank Shah, Shreyans Shah",Seed Funding,"1,000,000"
1181,45,17/10/2016,Trilyo,Technology,B2B SAAS based product,Bangalore,"Vishnu Bhat, Rajiv Lunkad, Naresh Ravindranath",Seed Funding,N/A
1182,46,17/10/2016,Rooter,Consumer Internet,Sports Social Network mobile app,New Delhi,"Boman Irani, Dhruv Chitgopekar, Prantik Dasgupta",Seed Funding,N/A
1183,47,17/10/2016,Yumigo,Consumer Internet,App based Travel Discovery and Transactions platform,Gurgaon,Hemant Sahni,Seed Funding,"300,000"
1184,48,17/10/2016,Rentalpha,Others,equipment rental and leasing company,Mumbai,Bravia Capital,Private Equity,"16,000,000"
1185,49,18/10/2016,3Dexter,Technology,3D Printing Solutions for Edu space,New Delhi,Newbie Promoters,Seed Funding,"150,000"
1186,50,18/10/2016,BabyChakra,Consumer Internet,Parenting and Child Care portal,Mumbai,RoundGlass Partners,Private Equity,N/A
1187,51,18/10/2016,Coppre,eCommerce,Copper based items etailer,Pune,Ganesh Natarajan,Seed Funding,N/A
1188,52,18/10/2016,MySUN,Technology,Solar Energy harnessing products marketplace,Noida,General Catalyst Partners,Private Equity,"2,500,000"
1189,53,18/10/2016,ePathsala,Technology,Cloud based ERP for Accreditation & ICT,Bangalore,"Hyderabad Angels, TLabs",Seed Funding,N/A
1190,54,19/10/2016,Furlenco,Consumer Internet,Online Furniture Rental platform,Bangalore,"Lightbox Ventures, Axis Capital & Others",Private Equity,"30,000,000"
1191,55,19/10/2016,Fisdom,Consumer Internet,Personal Wealth Management Platform & App,Bangalore,"Saama Capital, Raghunandan G, Aprameya Radhakrishna",Private Equity,"1,100,000"
1192,56,19/10/2016,Actofit,Technology,Wearable Technology platform & devices,Mumbai,Next Orbit Ventures Fund,Private Equity,"750,000"
1193,57,20/10/2016,Stayology,Consumer Internet,Stay & Travel related services,Bangalore,Ranjan Pai,Seed Funding,N/A
1194,58,20/10/2016,Hipcask,Consumer Internet,Alcoholic beverage discovery platform,Mumbai,Mobikon,Seed Funding,N/A
1195,59,20/10/2016,RailYatri,Consumer Internet,Train Travel Info mobile app,Noida,"Helion Ventures, Blume ventures",Private Equity,N/A
1196,60,21/10/2016,ChatOnGo,Consumer Internet,Hyperlocal  Communication Mobile app,Mumbai,Janak Jain,Seed Funding,"300,000"
1197,61,23/10/2016,WOTU,eCommerce,B2B Marketplace for traders,Bangalore,KAE capital,Seed Funding,N/A
1198,62,24/10/2016,Healthians,Consumer Internet,Health Test Discovery & Ordering service,Gurgaon,BEENEXT,Private Equity,"3,000,000"
1199,63,24/10/2016,Box8,Consumer Internet,Online Food Ordering platform/App,Mumbai,"IIFL Seed Ventures Fund, Mayfield Ventures",Private Equity,"7,500,000"
1200,64,25/10/2016,Kredx,eCommerce,Invoice discounting marketplace,Bangalore,Sequoia Capital,Private Equity,"6,000,000"
1201,65,25/10/2016,CreditMate,Consumer Internet,Credit Report Info platform,Mumbai,India Quotient,Seed Funding,"500,000"
1202,66,25/10/2016,Pickrr,Technology,Courier Logistics & Order management Solutions,New Delhi,Swastika Company Ltd,Seed Funding,N/A
1203,67,25/10/2016,SatvaKart,eCommerce,Online Grocery Etailer,Gurgaon,Nimit Panigrahi,Seed Funding,N/A
1204,68,25/10/2016,SooperMO,Technology,Android utility app suite creator,Gurgaon,Lalit Vase,Seed Funding,"100,000"
1205,69,26/10/2016,OrangeTwig,Consumer Internet,Social Media Marketing platform,New Delhi,Undisclosed investor,Seed Funding,"1,000,000"
1206,70,26/10/2016,Wooplr,Consumer Internet,Fashion Discovery App,Bangalore,"Astarc Ventures, Anand Chandrasekaran",Seed Funding,N/A
1207,71,26/10/2016,The Kettlery,eCommerce,Online Tea Etailer,Ahmedabad,"hooting Starts Sports LLP, Franchise India Brands",Private Equity,"1,000,000"
1208,72,27/10/2016,Idea Bubbles,Consumer Internet,Doctor Consulting platform,Bangalore,"1Crowd, Eureka Forbes Ltd, Shapoorji Pallonji & Co. Ltd.",Private Equity,"700,000"
1209,73,27/10/2016,FR8,Technology,Truck Fleet Operation platform,Chennai,Omnivore Partners,Private Equity,"971,000"
1210,74,27/10/2016,Ather Energy,Technology,Electric Vehicle Manufacturer,Bangalore,Hero MotoCorp,Private Equity,"27,000,000"
1211,75,28/10/2016,Pikkol,Logistics,Relocation Service provider,Bangalore,"Ajay Nanavati, Afsal Salu",Seed Funding,N/A
1212,76,29/10/2016,Velmenni,Technology,LiFi based wireless communication provider,New Delhi,Kalaari Capital,Seed Funding,"100,000"
1213,77,29/10/2016,Volta Motors,Technology,Electric Bike Manufacturer,Chennai,Kalaari Capital,Seed Funding,"100,000"
1214,78,29/10/2016,Cyclops,Technology,Clinical and Wearable Diagnostic Product creator,Bangalore,Kalaari Capital,Seed Funding,"100,000"
1215,79,30/10/2016,Impact Analytics,Technology,Business intelligence and data science Startup,Bangalore,"Aarin Capital, Michael Herzig, Ashish Lakhanpal",Private Equity,"750,000"
1216,80,31/10/2016,Talent Next,Consumer Internet,Talent Discovery & Audition management platform,Mumbai,Karanpal Singh & Others,Seed Funding,"1,000,000"
1217,81,,,,,,,,
1218,1.,1/12/2017,Strata Enviro,Technology,IoT based air pollution controller,Mumbai,Scale Minds,Private Equity,N/A
1219,2.,5/12/2017,Dunzo,Technology,Daily Task Management Mobile App,Bangalore,Google,Private Equity,"12,300,000"
1220,3.,5/12/2017,Tata Housing,Real Estate,Residential Project ,Mumbai,Hines,Private Equity,"23,000,000"
1221,4.,5/12/2017,HandyTrain,Technology,Mobile Learning Management Platform,Goa,NB Ventures,Private Equity,"1,000,000"
1222,5. ,5/12/2017,Mobycy,Technology,Bicycle sharing Platform,Gurgaon,Undisclosed Investors,Seed/Angel Funding,"500,000"
1223,6.,6/12/2017,Greenlight Planet,Technology,Off-grid solar products platform,Mumbai,"Apis Partner, Eight Roads Ventures, Bamboo Capital Partners",Private Equity,"60,000,000"
1224,7.,6/12/2017,Fintobox,Technology,Child Learning & Development Platform,Chennai,Lightbox,Private Equity,"7,000,000"
1225,8.,7/12/2017,Mswipe,Technology,Mobile point of sale services provider,Mumbai,Eduardo Saverin,Private Equity,"10,000,000"
1226,9.,7/12/2017,The Label Life,E-Commerce,Home Decor and Online Fashion Portal,Mumbai,Kalpvriksh,Private Equity,"3,100,000"
1227,10.,7/12/2017,Cygnus Hospitals,Healthcare,Super speciality Hospitals,Gurgaon,Somerset Indus Capital Ventures,Seed/Angel Funding,"750,000"
1228,11.,7/12/2017,eShakti,Ecommerce,Women's Fashion Clothing Online Platform,Chennai,IDG Ventures,Debt Funding,"2,300,000"
