,Date,Year,Month,Startup,IndustryVertical,SubVertical,City,InvestorName,InvestmentType,NewAmount
1879,2015-04-13,2015.0,4.0,Capricoast,Online Kitchen Furniture,Bangalore,Accel Partners India,Seed Funding,Undisclosed Investors,0.0
1880,2015-04-14,2015.0,4.0,LocalOye,Hyper-local Online Services,Mumbai,"Tiger Global Management, Lightspeed Venture Partners",Private Equity,Undisclosed Investors,5000000.0
1881,2015-04-15,2015.0,4.0,Grofers,Hyper-Local Online/Mobile Grocery,Gurgaon,"Tiger Global, Sequoia Capital",Private Equity,Undisclosed Investors,35000000.0
1882,2015-04-15,2015.0,4.0,PepperTap,Hyper-Local Online/Mobile Grocery,Gurgaon,"SAIF Partners, Sequoia Capital",Private Equity,Undisclosed Investors,10000000.0
1883,2015-04-15,2015.0,4.0,PolicyBazaar,Online Policy Aggregator,Gurgaon,"PremjiInvest, Tiger Global, Ribbit Capital",Private Equity,Undisclosed Investors,40000000.0
1884,2015-04-16,2015.0,4.0,UrbanClap,Hyperlocal Mobile Services Marketplace,New Delhi,"SAIF Partners, Accel Partners, Kunal Bahl, Rohit Bansal",Seed Funding,Undisclosed Investors,0.0
1885,2015-04-16,2015.0,4.0,Taskbob,"OnDemand
Mobile Handyman Services",Mumbai,"Orios Venture Partners, Mayfield India",Seed Funding,Undisclosed Investors,0.0
1886,2015-04-17,2015.0,4.0,Robosoft,Mobile App Development,Udupi,"Ascent Capital, Kalaari Capital",Private Equity,Undisclosed Investors,12000000.0
1889,2015-04-20,2015.0,4.0,Pastiwala,Material Collection & Recycling,Vadodara,Agnus Capital,Private Equity,Undisclosed Investors,4000000.0
1890,2015-04-20,2015.0,4.0,1mg (Healthkartplus),Online Pharmacy & Drug DB,Gurgaon,"Deep Kalra, Sequoia Capital, Omidyar Network, Intel Capital & Kae Capital",Private Equity,Undisclosed Investors,6000000.0
1891,2015-04-20,2015.0,4.0,Freshdesk,Online / Mobile Customer Support,Chennai,"Tiger Global, Google Capital & Accel Partners",Private Equity,Undisclosed Investors,50000000.0
1892,2015-04-20,2015.0,4.0,Sulekha.com,Online Classifieds & Listings,Chennai,GIC ventures,Private Equity,Undisclosed Investors,28000000.0
1894,2015-04-22,2015.0,4.0,Eat.Shop.Love,Fashion ECommerce,Bangalore,Undisclosed Investor,Private Equity,Undisclosed Investors,3500000.0
1895,2015-04-22,2015.0,4.0,Avanti Learning,Private Coaching Centers,New Delhi,"Michael & Susan Dell Foundation, Pearson Learning Fund",Private Equity,Undisclosed Investors,1500000.0
1896,2015-04-23,2015.0,4.0,Simplilearn,Online Certification Courses,Bangalore,"Mayfield Ventures, Kalaari Capital, Helion Ventures",Private Equity,Undisclosed Investors,15000000.0
1897,2015-04-23,2015.0,4.0,Craftstvilla,Ethnic Product eCommerce,Mumbai,"Sequoia Capital, Nexus venture Partners, Lightspeed Ventures, GFC",Private Equity,Undisclosed Investors,18000000.0
1898,2015-04-23,2015.0,4.0,HeadOut,Last Minute Travel Deals mobile marketplace,Bangalore / SFO,"Version One Ventures, 500 Startups, Nexus Venture Partners and Arena Ventures",Seed Funding,Undisclosed Investors,0.0
1899,2015-04-23,2015.0,4.0,happay,business expense management,Bangalore,AngelPrime,Seed Funding,Undisclosed Investors,0.0
1900,2015-04-23,2015.0,4.0,Jugnoo,Auto Rickshaw based Logistics,Chandigarh,"Rakesh Mathur, Vikas Taneja & others",Seed Funding,Undisclosed Investors,0.0
1903,2015-04-24,2015.0,4.0,Coverfox,Online Insurance Aggregator,Mumbai,"Accel US, Accel India, SAIF Partners.",Private Equity,Undisclosed Investors,12000000.0
1904,2015-04-27,2015.0,4.0,Torqus,Restaurant Management Platform,Pune,S S Mukherji & Others,Seed Funding,Undisclosed Investors,0.0
1905,2015-04-27,2015.0,4.0,Grab,Food Logistics & Delivery,Mumbai,"Oliphans Capital, Haresh Chawla",Seed Funding,Undisclosed Investors,0.0
1906,2015-04-27,2015.0,4.0,LogicRoots,Interactive Educational Games,Jaipur,"Ah! Ventures, Calcutta Angels,  91SpringBoard",Seed Funding,Undisclosed Investors,0.0
1908,2015-04-28,2015.0,4.0,Babajobs,Grey collar Job Board,Bangalore,SEEK Ltd & affiliates,Private Equity,Undisclosed Investors,10000000.0
1910,2015-04-28,2015.0,4.0,Jay Robotix,Robotic Program learning,Hyderabad,Cross Border Angels & others,Seed Funding,Undisclosed Investors,0.0
1911,2015-04-28,2015.0,4.0,Naaptol.com,Tele-Shopping / eCommerce,Mumbai,Mitsui & Co & existing investors,Private Equity,Undisclosed Investors,21500000.0
1912,2015-04-29,2015.0,4.0,ReGlobe,Used Gadgets Buy / Refurbishing,Gurgaon,"Bessemer Ventures, Blume Ventures",Seed Funding,Undisclosed Investors,0.0
1913,2015-04-29,2015.0,4.0,Icertis,Cloud Enterprise Software,Pune / US,"Greycroft Partners, Fidelity Growth Partners",Private Equity,Undisclosed Investors,6000000.0
1914,2015-04-29,2015.0,4.0,Tracxn,Startup Analytics platform,Bangalore,SAIF Partners,Private Equity,Undisclosed Investors,3500000.0
1916,2015-04-29,2015.0,4.0,Tradelab,Financial Markets Software,Bangalore,Rainmatter,Seed Funding,Undisclosed Investors,0.0
1917,2015-04-29,2015.0,4.0,PiQube,Hiring Analytics platform,Chennai,The HR Fund,Seed Funding,Undisclosed Investors,0.0
1918,2015-04-29,2015.0,4.0,Travel Triangle,Online Travel Marketplace,Noida,"Bessemer Venture Partners, SAIF Partners",Private Equity,Undisclosed Investors,8000000.0
1919,2017-01-06,2017.0,1.0,Tripeur,Technology,Mobile based travel ERP platform,Bengaluru,"Grace Grace Techno Ventures LLP, Rajul Garg & Other undisclosed investors",Seed Funding,0.0
1920,2017-02-06,2017.0,2.0,RentOnGo,eCommerce,"Online Marketplace for Renting Bikes, Electronics & Appliances",Bengaluru,TVS Motor Company,Seed Funding,234000.0
1921,2017-05-06,2017.0,5.0,Goomo,Consumer Internet,Online Travel & Holiday Booking platform,Mumbai,Emerging India,Private Equity,50000000.0
1922,2017-05-06,2017.0,5.0,MaxMyWealth,Consumer Internet,Online Wealth Management & Savings platform,Mumbai,"blockchain ecosystem Global Advisors, Horseferry",Private Equity,0.0
1923,2017-06-06,2017.0,6.0,Spinny,eCommerce,Online Used Car marketplace,Gurugram,"Blume Ventures, Indian Angel Network, Kunal Shah, Sandeep Tandon",Private Equity,1000000.0
1924,2017-06-06,2017.0,6.0,Healthbuds,Consumer Internet,Healthcare Discovery & booking platform,Kolkata,"Arun Patodia, Bharat Kedia",Seed Funding,0.0
1925,2017-06-06,2017.0,6.0,Ftcash,Consumer Internet,Mobile Payments platform,Mumbai,"500 Startups, IvyCap Ventures",Private Equity,0.0
1926,2017-06-06,2017.0,6.0,BHIVE Workspace,Consumer Internet,co-working spaces,Bengaluru,Blume Ventures,Private Equity,1200000.0
1927,2017-06-06,2017.0,6.0,wayForward,Consumer Internet,Mobile app for Mental Health,Delhi,"Harsh Mahajan, Farhan Naqvi, Sreepathy Viswanathan",Seed Funding,1000000.0
1928,2017-06-06,2017.0,6.0,GyanDhan,Consumer Internet,Education Marketplace,Delhi,Sundaram Finance Holdings,Private Equity,0.0
1929,2017-06-06,2017.0,6.0,Hungry Foal,Consumer Internet,For profit Social Venture,Gurugram,SBI (Stand Up India Scheme),Private Equity,0.0
1930,2017-07-06,2017.0,7.0,ZipLoan,Consumer Internet,Online lending platform,Delhi,WaterBridge Ventures,Seed Funding,650000.0
1931,2017-07-06,2017.0,7.0,GrowFitter,Consumer Internet,health and fitness discovery platform,Mumbai,SQue Capital,Seed Funding,600000.0
1932,2017-08-06,2017.0,8.0,Stratfit,Consumer Internet,Health coaching programs,Hyderabad,Bodhtree Consulting Limited,Seed Funding,232000.0
1933,2017-08-06,2017.0,8.0,Multiplier Solutions,Technology,CRM Software for Healthcare space,Hyderabad,Norwest Venture Partners,Private Equity,1500000.0
1934,2017-08-06,2017.0,8.0,ABI Health,Technology,Unified Digital Health Platform,Bengaluru,Norwest Venture Partners,Private Equity,1500000.0
1935,2017-08-06,2017.0,8.0,Stockal,Consumer Internet,App-based Investment advisory Services,Bengaluru,"Mohan Alexander, R. Natarajan, Vikrant Varshney, Amit Sinha",Seed Funding,350000.0
1936,2017-09-06,2017.0,9.0,Guidoo,Consumer Internet,Travel & adventure planning platform,Mumbai,"Pawan Borle, Nirmal Singh, Manish Prasad, Vineet Varma, Nick Haulkoury, Abhai S. Rao",Seed Funding,300000.0
1937,2017-09-06,2017.0,9.0,eSahai.in,Consumer Internet,ambulance aggregator and medical taxi provider,Hyderabad,"Dr Ramesh Ayyala, Satya Muthyala",Seed Funding,250000.0
1938,2017-12-06,2017.0,12.0,Loanmeet,Consumer Internet,Online peer-to-peer lending platform,Bengaluru,"Cao Yibin, Huang Wei, Madhusudan E,",Seed Funding,0.0
1939,2017-12-06,2017.0,12.0,LendingKart,Consumer Internet,Online Lending platform,Ahmedabad,Yes Bank,Debt Funding,7800000.0
1940,2017-12-06,2017.0,12.0,Boxx.ai,Technology,Artificial Intelligence,Bengaluru,"Unicorn India Ventures, Venky Krishnakumar, Suresh Shankar, Vivek Bhargava",Private Equity,500000.0
1941,2017-12-06,2017.0,12.0,PeeSafe.in,Healthcare,Hygiene care product manufacturer,Delhi,"Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures",Private Equity,1000000.0
1942,2017-12-06,2017.0,12.0,Vista Rooms,Consumer Internet,Online rooms aggregation platform,Mumbai,"Artha India Ventures, Singularity Holdings, Rajan Anandan, Girish Mathrubootham",Seed Funding,776000.0
1943,2017-12-06,2017.0,12.0,CoverFox,Consumer Internet,Online insurance brokerage platform,Mumbai,Transamerica,Private Equity,15000000.0
1944,2017-06-13,2017.0,6.0,HyperTrack,Technology,Location tracking solutions,Delhi,"Nexus Venture Partners, Founders Fund",Private Equity,0.0
1945,2017-06-13,2017.0,6.0,Goodera,Technology,CSR and sustainability management platform,Bengaluru,"Nexus Venture Partners, Omidyar Network",Private Equity,5500000.0
1946,2017-06-13,2017.0,6.0,Digit,Technology,Tech driven Insurance platform,Bengaluru,Fairfax Holdings,Private Equity,0.0
1947,2017-06-14,2017.0,6.0,Ola,Consumer Internet,Cab Aggregation App,Bengaluru,Tekne Capital Management LLC,Private Equity,50000000.0
1948,2017-06-14,2017.0,6.0,Vanitycask,Consumer Internet,Beauty products discovery platform,Mumbai,RB Investments,Seed Funding,0.0
1949,2017-06-14,2017.0,6.0,MrNeeds,Consumer Internet,Micro Food Delivery platform,Noida,undisclosed investors,Seed Funding,500000.0
1950,2017-06-15,2017.0,6.0,MoneyTap,Consumer Internet,Money Lending platform,Bengaluru,"Sequoia India, NEA, Prime Venture Partners",Private Equity,12300000.0
1951,2017-06-16,2017.0,6.0,Goodbox,eCommerce,Mobile SAAS  ECommerce platform for SMEs,Bengaluru,"Nexus Venture Partners, Mekin Maheshwari",Private Equity,1000000.0
1952,2017-06-16,2017.0,6.0,Fincash,Consumer Internet,Personal Finance platform,Mumbai,"Mohammed Khan, Sameer Narayan & Others",Seed Funding,100000.0
1953,2017-06-16,2017.0,6.0,PortDesk,Technology,Maritime Solutions,Noida,Alphard Maritime Group,Seed Funding,2000000.0
1954,2017-06-16,2017.0,6.0,EdgeFx,eCommerce,DIY project Kits seller,Hyderabad,"Cross Border Angels & Experts, Rajasthan Angel Innovators Network, The Chennai Angels",Seed Funding,0.0
1955,2017-06-16,2017.0,6.0,EazyDiner,Consumer Internet,Online Restaurant Reservation Platform,Gurugram,YouWeCan Ventures,Seed Funding,0.0
1956,2017-06-16,2017.0,6.0,HealthIntel,Healthcare,Online Pharmacy,Delhi,BLIP Initiatives,Seed Funding,0.0
1957,2017-06-19,2017.0,6.0,Unbxd,Technology,Cloud-based product discovery platform,Bengaluru,Eight Roads Ventures,Private Equity,12500000.0
1958,2017-06-19,2017.0,6.0,DarwinBox,Technology,Enterprise human resources management platform,Hyderabad,"Lightspeed India Partners, Endiya Partners, 3one4 Capital Advisors LLP, Startupxseed Ventures LLP",Private Equity,4000000.0
1959,2017-06-20,2017.0,6.0,ForeverShop,Consumer Internet,Mobile based ecommerce platform,Bengaluru,91maker.com,Seed Funding,300000.0
1960,2017-06-20,2017.0,6.0,Insider.in,Consumer Internet,Events Ticketing platform,Mumbai,Paytm,Private Equity,5200000.0
1961,2017-06-21,2017.0,6.0,Fynd,eCommerce,Fashion etailer,Mumbai,"IIFL Seed Ventures, Kae Capital, FJ Labs, Singularity Ventures, GrowX, Tracxn Labs, Axis Capital",Private Equity,2400000.0
1962,2017-06-21,2017.0,6.0,Grow Fit,Consumer Internet,Health-Tech platform,Bengaluru,"Manipal Education and Medical Group (MEMG), SAR Group, The Grover Trust",Private Equity,4500000.0
1963,2017-06-21,2017.0,6.0,Fabulyst,Technology,Artificial Intelligence based platform,Hyderabad,iBhubs,Seed Funding,215000.0
1964,2017-06-21,2017.0,6.0,mSwipe,Technology,Point-of-Sale services,Mumbai,"UC-RNT Fund, Matrix Partners, alcon Edge Capital, DSG Consumer Partners",Private Equity,31000000.0
1965,2017-06-21,2017.0,6.0,OneAssist,Consumer Internet,Credit card fraud protection,Mumbai,Sequoia Capital,Private Equity,0.0
1966,2017-06-22,2017.0,6.0,Julia Computing,Technology,Open Source Language for Data Science and Machine Learning,Bengaluru,"General Catalyst, Founder Collective",Private Equity,4600000.0
1967,2017-06-22,2017.0,6.0,Kissht,Consumer Internet,Consumer Lending platform,Mumbai,"Endiya Partners, Ventureast",Private Equity,2000000.0
1968,2017-06-22,2017.0,6.0,Explore Life traveling,Consumer Internet,Local homes booking platform,Bengaluru,"Mekin Maheshwari, Bharat Vijay, Krish Seshadri, Amar Arsikere",Seed Funding,500000.0
1969,2017-06-23,2017.0,6.0,Loantap,Consumer Internet,Lending platform for salaried professionals,Mumbai,"Kae Capital, India Quotient, IFMR, and MAS Financial Services Ltd",Private Equity,4000000.0
1970,2017-06-23,2017.0,6.0,Voxweb,Consumer Internet,Mobile based social networking platform,Mumbai,Undisclosed investors,Seed Funding,1000000.0
1971,2017-06-26,2017.0,6.0,HUG Innovations,Technology,Gesture based  Smartwatch manufacturer,Hyderabad,"Mohit Srivastav, Kishore Ganji, Venkat Vallabhaneni, Rajeev Menon",Private Equity,5000000.0
1972,2017-06-26,2017.0,6.0,Flipkart,eCommerce,Online marketplace,Bengaluru,Naspers,Private Equity,71000000.0
1973,2017-06-26,2017.0,6.0,V Resorts,Consumer Internet,Holiday & Vacation resort aggregator,Noida,"Seedfund, RB International",Private Equity,4000000.0
1974,2017-06-27,2017.0,6.0,Stashfin,Consumer Internet,Personal Finance App,Delhi,"Snow Leopard Ventures, Alto Partners",Private Equity,5000000.0
1975,2017-06-27,2017.0,6.0,Formcept,Consumer Internet,Unified Data Analysis platform,Bengaluru,Gujarat Venture Finance Ltd,Private Equity,0.0
1976,2017-06-27,2017.0,6.0,Spares Hub,eCommerce,Automobile parts marketplace,Pune,"The Chennai Angels, Anthill Scale Ventures, Esvee Technologies Inc, Inc95 Consulting",Seed Funding,311000.0
1977,2017-06-28,2017.0,6.0,FiTraQ,Consumer Internet,Fitness Centre Discovery Platform,Delhi,"Aparup Sengupta, Devendra Reddy,",Seed Funding,0.0
1978,2017-06-28,2017.0,6.0,Rubique,Consumer Internet,Online Marketplace for financial products,Mumbai,"Kalaari Capital, Udayan Goyal",Private Equity,3000000.0
1979,2017-06-28,2017.0,6.0,Niki.ai,Consumer Internet,AI Based Personal Assistant,Bengaluru,"SAP.iO, Unilazer Ventures",Private Equity,2000000.0
1980,2017-06-29,2017.0,6.0,Fitpass,Consumer Internet,Online Fitness Marketplace,Delhi,"Abhinav Bindra, Gaurav Marya",Private Equity,1000000.0
1981,2017-06-29,2017.0,6.0,ZingHR,Technology,"digital employee solutions,",Mumbai,Zeta,Private Equity,0.0
1982,2017-06-30,2017.0,6.0,Tagos Design,Technology,in-video discovery platform,Bengaluru,Undisclosed Investors,Private Equity,5000000.0
1983,2017-06-30,2017.0,6.0,UrbanClap,Consumer Internet,Mobile Services Marketplace,Gurugram,"Vy Capital, SAIF Partners, Accel Partner, Bessemer Venture Partners",Private Equity,21000000.0
1985,2016-01-01,2016.0,1.0,Smartcooky,ECommerce,Health Food / Personal Care Marketplace,Delhi,"Rajan Anandan, Pramod Bhasin, Siddharth Pai, TV Mohandas Pai, Manvinder Singh Banga",Seed Funding,0.0
1986,2016-01-01,2016.0,1.0,Helpi,Consumer Internet,On Demand Cleaning Services Mobile App,Mumbai,Undisclosed Investors,Seed Funding,0.0
1987,2016-04-01,2016.0,4.0,DogSpot,ECommerce,Online Pet Store,Gurugram,Ratan Tata,Seed Funding,0.0
1988,2016-04-01,2016.0,4.0,Career360,Education,College Education Portal,Delhi,MeritTrac,Private Equity,0.0
1989,2016-04-01,2016.0,4.0,B9 Beverages,Food & Beverage,Craft Beer manufacturing company,Delhi,"Sequoia Capital, Kunal Bahl, Rohit Bansal, Deepinder Goyal, Ashish Dhawan, Mayank Singhal",Private Equity,6000000.0
1990,2016-05-01,2016.0,5.0,WIMWI Foods,Food & Beverage,Healthy food manufacturing & sales startup,Ahmedabad,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Funding,0.0
1991,2016-05-01,2016.0,5.0,MyChild App,Education,Child Disorder Information & Education,Bhopal,"Samir Bangara, Anisha Mittal, Amit Gupta, Pallav Nadhani, Lalit Mangal, Arihant Patni, Dr. Ritesh Malik, Deobrat Singh, Saurab Paruthi, Singapore Angel Network.",Seed Funding,100000.0
1992,2016-05-01,2016.0,5.0,Instaproc,ECommerce,B2B Procurement Marketplace for Office Products,Noida,Dinesh Agarwal,Seed Funding,0.0
1993,2016-05-01,2016.0,5.0,360Ride,Consumer Internet,Ride Sharing platform,Bengaluru,Undisclosed,Seed Funding,150000.0
1994,2016-05-01,2016.0,5.0,"Alef
Mobitech",Consumer Internet,Cloud Mobility Solutions,Mumbai,Tata Capital Innovation Fund,Private Equity,5000000.0
1995,2016-06-01,2016.0,6.0,Tracxn,BFSI,Startup Funding Deal Discovery & Execution platform,Bengaluru,Ratan Tata,Seed Funding,0.0
1996,2016-06-01,2016.0,6.0,Qdesq,Real Estate,Branded Workspaces Aggregator,Gurugram,"Dheeraj Jain, Jagdish Kumar, Bharat Gupta, Ankush Saigal, Praveen Saini",Seed Funding,0.0
1997,2016-06-01,2016.0,6.0,Sensara,Technology,"TV Search, Guide and Remote mobile app",Bengaluru,"Lalitesh Katragadda,  Ganayantrika Systems",Seed Funding,750000.0
1998,2016-06-01,2016.0,6.0,Zebpay,Consumer Internet,Bitcoin Buying & Selling Mobile App,Ahmedabad,"Arjun Handa, Amit Jindal, Nagendra Chaudhary",Private Equity,1000000.0
1999,2016-06-01,2016.0,6.0,"PlanMy
MedicalTrip",Healthcare,Medical Tourism platform,Pune,"Bhanu Vikram Parsotam, Rohan Desai and Paras Patel",Seed Funding,150000.0
2000,2016-06-01,2016.0,6.0,MyCity4Kids,Education,Children Education & Information platform,Gurugram,"SIDBI Venture Capital Limited, YourNest Angel Fund",Private Equity,3000000.0
2001,2016-06-01,2016.0,6.0,Justdakhila.com,Education,School Student admissions platform,Delhi,Ankur Gupta,Seed Funding,750000.0
2002,2016-07-01,2016.0,7.0,PitStop,Consumer Internet,Automobile Service Booking App,Bengaluru,Myntra/LivSpace Founders,Seed Funding,0.0
2003,2016-07-01,2016.0,7.0,Bikxie,Consumer Internet,Two Wheeler Taxi Service,Gurugram,Undisclosed Investors,Seed Funding,0.0
2004,2016-07-01,2016.0,7.0,Infurnia,Consumer Internet,Online Furniture Customization platform,Bengaluru,Idein Ventures,Seed Funding,160000.0
2005,2016-07-01,2016.0,7.0,Myly,Education,Mobile Based Education platform,Jaipur,Newbie Promoter Pvt Ltd,Seed Funding,100000.0
2006,2016-07-01,2016.0,7.0,MakeMyTrip,Consumer Internet,Online Travel/Hotel Booking platform,Gurugram,Ctrip.com International Ltd,Private Equity,180000000.0
2007,2016-08-01,2016.0,8.0,Melorra,ECommerce,Online/ Mobile Jewellery Retailer,Bengaluru,Lightbox Ventures,Private Equity,5000000.0
2008,2016-08-01,2016.0,8.0,ConfirmTKT,Consumer Internet,Train PNR Status Prediction Platform,Bengaluru,"Krishna Jhujhunwala, Dr. Apoorv Ranjan Sharma, Anirudh Damani, Anand Ladsariya, Sanjay Mehta & Others",Seed Funding,250000.0
2009,2016-08-01,2016.0,8.0,Gyaanzone,Education,Career Planning and Education Advisory Platform,Mumbai,GBIM Technologies Pvt Ltd,Seed Funding,45000.0
2010,2016-08-01,2016.0,8.0,FlatFurnish,Consumer Internet,Online Furnishing Rental Platform,Gurugram,Arun Chandra Mohan,Seed Funding,0.0
2011,2016-09-01,2016.0,9.0,Lumiere,ECommerce,Organic Food eTailer,Bengaluru,Undisclosed investors,Private Equity,0.0
2012,2016-11-01,2016.0,11.0,Koovs,ECommerce,Online Fashion Apparel Retailer,Gurugram,"Nahata Family, Waheed Alli",Private Equity,5400000.0
2013,2016-11-01,2016.0,11.0,Wishup,Consumer Internet,Mobile app based Concierge Service,Delhi,"500 Startups, Mato Peric, TracxnLabs",Seed Funding,0.0
2014,2016-11-01,2016.0,11.0,FreshMenu,Consumer Internet,Online / Mobile Food Ordering platform,Bengaluru,"Zodius Capital, Lightspeed Venture Partners",Private Equity,16500000.0
2015,2016-11-01,2016.0,11.0,SavvyMob,ECommerce,Last Minute Hotel Bookings mobile marketplace,Bengaluru,"TV Mohandas Pai, LetsVenture",Seed Funding,1000000.0
2016,2016-11-01,2016.0,11.0,Fashionablyin,Consumer Internet,Mobile based Geo-target Fashion Marketplace,Mumbai,Ranjan Mahtani,Seed Funding,0.0
2017,2016-12-01,2016.0,12.0,Shopclues,ECommerce,ECommerce Marketplace,Gurugram,"GIC, Tiger Global Management, Nexus Venture Partners",Private Equity,100000000.0
2018,2016-12-01,2016.0,12.0,Hike Messenger,Consumer Internet,P2P Messaging Service,Delhi,"Matt Mullenweg, Adam D’Angelo, Aditya Agarwal,  Ruchi Sanghvi & Others",Private Equity,0.0
2019,2016-12-01,2016.0,12.0,iBus Networks,Technology,Next Generation in-building connectivity,Bengaluru,"Vallabh Bhanshali, N Squared Management LLC, Jagdish & Sandeep Mehta Family Office",Private Equity,2300000.0
2020,2016-12-01,2016.0,12.0,Happy2Refer,Consumer Internet,Mobile based Referral Platform,Mumbai,"Equity Crest, Vinners, Sparknext",Seed Funding,250000.0
2021,2016-01-13,2016.0,1.0,CarTrade,Consumer Internet,Auto Classifieds Portal,Mumbai,"Temasek Holdings, March Capital, Warburg Pincus",Private Equity,145000000.0
2022,2016-01-13,2016.0,1.0,Rentomo,Consumer Internet,peer-to-peer renting Marketplace,Bengaluru,Shiva Ashok & Other unnamed investors,Seed Funding,100000.0
2023,2016-01-13,2016.0,1.0,Roder,Consumer Internet,inter-city cab aggregator,Delhi,Unicorn India Ventures,Seed Funding,240000.0
2024,2016-01-13,2016.0,1.0,Bucker,Consumer Internet,Food Ordering Mobile App,Hyderabad,"50k Ventures, Munish Jauhar, Pulkit Jain, Rohit Narang",Seed Funding,0.0
2025,2016-01-13,2016.0,1.0,Care24,Healthcare,Professional Health Services Platform,Mumbai,"SAIF Partners, India Quotient",Private Equity,4000000.0
2026,2016-01-13,2016.0,1.0,Obino,Healthcare,Weigh Loss Coaching,Mumbai,RoundGlass Partners,Private Equity,0.0
2027,2016-01-14,2016.0,1.0,Snapshopr,Consumer Internet,Visual Search & Image Recognition Platform,Bengaluru,Amod Malviya,Seed Funding,0.0
2028,2016-01-14,2016.0,1.0,Buildkar,ECommerce,Construction Material Marketplace,Bengaluru,"Mustafa Wajid, Umang Kumar & Others",Seed Funding,0.0
2029,2016-01-14,2016.0,1.0,Orahi,Consumer Internet,Carpooling Mobile App,Gurugram,Indian Angel Network,Seed Funding,520000.0
2030,2016-01-14,2016.0,1.0,Zapr,Technology,TV to Mobile audience Platform,Gurugram,"Flipkart, Saavn, Micromax, Dhiraj Rajaram, Ambiga Dhiraj, Dinesh Agarwal, Samir Bangara, Sanjay Nath, Arihant Patni",Seed Funding,0.0
2031,2016-01-15,2016.0,1.0,Remidio,Healthcare,Healthcare Product Manufacturer,Bengaluru,Cipher-Plexus Capital Advisors & Indian HNIs,Private Equity,0.0
2032,2016-01-15,2016.0,1.0,Fitso,Consumer Internet,Fitness related Social Networking App & Forum,Gurugram,"Varun Khurana, Samar Singla, Vinay Bansal,",Seed Funding,200000.0
2033,2016-01-15,2016.0,1.0,evibe.in,Consumer Internet,Party Hall Booking platform,Bengaluru,"Hyderabad Angels, Lalit Mangal,  Vikas Malpani, Gaurav Bhalotia, LV Prasad",Seed Funding,0.0
2034,2016-01-15,2016.0,1.0,Zoctr,Consumer Internet,healthcare aggregator platform,Mumbai,Times Group,Seed Funding,0.0
2035,2016-01-15,2016.0,1.0,Jobick,Consumer Internet,Mobile app based Job Search,Noida,Abhinav Mathur,Seed Funding,0.0
2036,2016-01-16,2016.0,1.0,Plick,Consumer Internet,Instant Content Transfer Mobile App,Mumbai,Sanjay Mehta,Seed Funding,0.0
2037,2016-01-18,2016.0,1.0,Voice Friends,Consumer Internet,Dating & Singles Chat Platform,Mumbai,Huzaifa Khorakiwala,Seed Funding,0.0
2038,2016-01-18,2016.0,1.0,Kartrocket,Consumer Internet,SAAS DIY  ECommerce Platform,Delhi,"Bertelsmann India Investments, Nirvana Digital India Fund, Nirvana Digital Investment Holding, 500 Startups",Private Equity,6000000.0
2039,2016-01-19,2016.0,1.0,Swiggy,Consumer Internet,Online/Mobile food ordering platform,Bengaluru,"Harmony Partners, RB Investments & existing investors",Private Equity,35000000.0
2040,2016-01-19,2016.0,1.0,TinyStep,Consumer Internet,Parenting Social Network,Bengaluru,Flipkart,Seed Funding,0.0
2041,2016-01-19,2016.0,1.0,Cashkaro,Consumer Internet,Coupon & Cashback platform,Gurugram,Ratan Tata,Private Equity,0.0
2042,2016-01-19,2016.0,1.0,Gameezop,Consumer Internet,Casual Gaming platform,Delhi,Anand Chandrasekaran & Others,Seed Funding,0.0
2043,2016-01-19,2016.0,1.0,DailyObjects,ECommerce,Mobile Accessories etailer,Delhi,"Unilazer Fund,  Phanindra Sama, Peyush Bansal",Private Equity,1400000.0
2044,2016-01-19,2016.0,1.0,Indus OS,Technology,Local language Mobile OS,Mumbai,"Omidyar Network,",Private Equity,5000000.0
2045,2016-01-19,2016.0,1.0,CollegeDunia,Consumer Internet,Educational College Search platform,Delhi,Umang Kumar,Seed Funding,445000.0
2046,2016-01-19,2016.0,1.0,Villgro,Finance,Social Business Incubator & Fund,Chennai,"Lemelson Foundation, Michael and Susan Dell Foundation",Private Equity,3500000.0
2047,2016-01-20,2016.0,1.0,Reddoorz,Consumer Internet,Budget Accomodation Aggregator,Delhi,500 Startups,Private Equity,0.0
2048,2016-01-20,2016.0,1.0,IndustryBuying,ECommerce,B2B Industrial Goods Marketplace,Delhi,Trifecta Capital,Private Equity,1800000.0
2049,2016-01-20,2016.0,1.0,Just Buy Live,ECommerce,B2B Marketplace for Distributors,Mumbai,Alpha Capital,Private Equity,20000000.0
2050,2016-01-20,2016.0,1.0,IMbesharam,ECommerce,Adult Products Etailers,New Delhi / US,Undisclosed US Based Investors,Private Equity,4000000.0
2051,2016-01-20,2016.0,1.0,Moodoo,Consumer Internet,Social Meeting organizer App,Mumbai / UK,Saïd Business School Seed Fund.,Seed Funding,40000.0
2052,2016-01-20,2016.0,1.0,Saral Designs,Healthcare,Women Hygiene Product Manufacturer,Mumbai,"Farooq Adam, Ambi Parameswaran,",Seed Funding,0.0
2053,2016-01-21,2016.0,1.0,FirstCry,ECommerce,Kids Focused eTailer,Pune,Ratan Tata,Private Equity,0.0
